MUTUAL_TYPE,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sh,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz,hk2sz
,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP,当日资金流入,当日成交净买额,当日余额,历史累计净买额,买入成交额,卖出成交额,领涨股代码,领涨股名称,领涨股涨跌幅,上证指数,上证指数涨跌幅,HOLD_MARKET_CAP
TRADE_DATE,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13,-2711.55,-3968.19,54711.55,952205.71,21214.47,25182.66,688166.SH,博瑞医药,20.0,3088.1,-0.64,1202914494268.14,,,,,,,,,,,,
2023-10-16,-2274.3,-3726.96,54274.3,948478.75,21767.24,25494.2,603982.SH,泉峰汽车,10.02,3073.81,-0.46,1190185501301.73,-1165.45,-2749.98,53165.45,859690.44,27119.42,29869.4,002387.SZ,维信诺,10.02,9924.92,-1.42,933206861648.761
2023-10-17,430.440000000002,-889.710000000003,51569.56,947589.04,21588.01,22477.72,601698.SH,中国卫通,9.99,3083.5,0.32,1193757700242.53,-799.160000000003,-2167.79,52799.16,857522.65,25321.01,27488.8,300180.SZ,华峰超纤,20.0,9940.22,0.15,932843960588.92
2023-10-18,-723.449999999997,-2357.31,52723.45,945231.73,21577.64,23934.95,603595.SH,东尼电子,10.0,3058.71,-0.8,1183527489947.69,2895.49,1196.67,49104.51,858719.32,28998.38,27801.71,002385.SZ,大北农,10.03,9816.68,-1.24,924398442612.901
2023-10-19,-5816.82,-6973.24,57816.82,938258.49,22353.81,29327.05,603399.SH,吉翔股份,9.96,3005.39,-1.74,1150653577997.32,-3552.29,-4731.03,55552.29,853988.29,26662.72,31393.75,002383.SZ,合众思壮,9.99,9655.09,-1.65,902645535948.992
2023-10-20,1603.53,637.240000000002,50396.47,938895.73,26857.54,26220.3,603399.SH,吉翔股份,10.02,2983.06,-0.74,1144523541909.53,-1320.36,-2283.46,53320.36,851704.83,26498.71,28782.17,000410.SZ,沈阳机床,9.96,9570.36,-0.88,891587823780.19
2023-10-24,-380.779999999999,-1687.82,52380.78,937207.91,27122.63,28810.45,600510.SH,黑牡丹,10.1,2962.24,0.78,1132846579025.57,-2072.84,-3357.75,54072.84,848347.08,31445.91,34803.66,000631.SZ,顺发恒业,10.12,9483.9,0.61,880589488014.379
2023-10-25,1285.59,60.43,50714.41,937268.34,27649.22,27588.79,600510.SH,黑牡丹,10.07,2974.11,0.4,1139209146567.27,-60.029999999999,-1355.63,52060.03,846991.45,32642.92,33998.55,003039.SZ,顺控发展,10.02,9528.31,0.47,880973503945.549
2023-10-26,2266.78,812.740000000002,49733.22,938081.08,25132.08,24319.34,603236.SH,移远通信,10.0,2988.3,0.48,1143160279266.42,1924.17,414.009999999998,50075.83,847405.46,32162.8,31748.79,002991.SZ,甘源食品,10.01,9566.1,0.4,884282993413.3
2023-10-27,3031.84,1898.12,48968.16,939979.2,31220.17,29322.05,600418.SH,江淮汽车,9.98,3017.78,0.99,1159367645105.92,3903.41,2769.91,48096.59,850175.37,38280.69,35510.78,002232.SZ,启明信息,9.98,9770.84,2.14,906329286117.462
2023-10-30,-1445.73,-2794.31,53445.73,937184.89,29856.05,32650.36,603338.SH,浙江鼎力,10.0,3021.55,0.12,1160056449105.41,1875.67,396.699999999997,50124.33,850572.07,35145.52,34748.82,000676.SZ,智度股份,10.06,9927.99,1.61,921046575914.649
2023-10-31,-293.019999999997,-1464.26,52293.02,935720.63,30248.74,31713.0,605116.SH,奥锐特,10.0,3018.77,-0.09,1155868458715.15,-1797.33,-3289.13,53797.33,847282.94,33128.04,36417.17,000021.SZ,深科技,9.99,9863.8,-0.65,909753320505.902
2023-11-01,1697.87,362.32,50302.13,936082.95,25303.34,24941.02,600335.SH,国机汽车,10.0,3023.08,0.14,1159170176883.57,-1113.99,-2444.57,53113.99,844838.37,27678.95,30123.52,002277.SZ,友阿股份,10.03,9826.73,-0.38,904773132682.829
2023-11-02,3273.03,1959.4,48726.97,938042.35,22707.62,20748.22,603533.SH,掌阅科技,9.99,3009.41,-0.45,1157722011233.91,2163.42,722.34,49836.58,845560.71,27827.25,27104.91,000676.SZ,智度股份,10.06,9734.77,-0.94,898574700483.22
2023-11-03,4132.83,2803.92,47867.17,940846.27,26936.79,24132.87,603662.SH,柯力传感,9.99,3030.8,0.71,1170492299282.99,5790.09,4304.36,46209.91,849865.07,32205.25,27900.89,002031.SZ,巨轮智能,10.03,9853.89,1.22,912777858140.741
2023-11-06,804.779999999999,-628.860000000001,51195.22,940217.41,28274.35,28903.21,601595.SH,上海电影,9.98,3058.41,0.91,1179540444597.58,7488.85,5901.86,44511.15,855766.93,38253.72,32351.86,002238.SZ,天威视讯,10.06,10071.56,2.21,939506220224.48
2023-11-07,-1103.44,-2426.32,53103.44,937791.09,24015.85,26442.17,603667.SH,五洲新春,9.98,3057.27,-0.04,1174415921354.6,-816.529999999999,-2161.25,52816.53,853605.68,30807.84,32969.09,000828.SZ,东莞控股,9.98,10056.49,-0.15,934670268796.591
2023-11-08,-527.489999999998,-1739.31,52527.49,936051.78,24807.67,26546.98,603533.SH,掌阅科技,9.98,3052.37,-0.16,1170509405400.16,-703.870000000003,-1970.69,52703.87,851634.99,32945.78,34916.47,000828.SZ,东莞控股,9.99,10052.09,-0.04,932241437658.07
2023-11-09,3487.65,2170.23,48512.35,938222.01,25931.29,23761.06,688167.SH,炬光科技,20.0,3053.28,0.03,1173675713593.36,-956.43,-2233.59,52956.43,849401.4,31224.1,33457.69,001314.SZ,亿道信息,10.0,10032.09,-0.2,927803090066.14
2023-11-10,-2157.72,-3314.9,54157.72,934907.11,20612.72,23927.62,605050.SH,福然德,10.0,3038.97,-0.47,1163211212714.01,-335.849999999999,-1549.22,52335.85,847852.18,26583.34,28132.56,002238.SZ,天威视讯,10.04,9978.54,-0.53,920927696480.241
2023-11-13,169.419999999998,-1159.84,51830.58,933747.27,20746.25,21906.09,600316.SH,洪都航空,10.02,3046.53,0.25,1159641357886.81,1149.37,-282.950000000001,50850.63,847569.23,28533.34,28816.29,003032.SZ,传智教育,10.03,9988.83,0.1,917734607196.12
2023-11-14,-437.040000000001,-1684.43,52437.04,932062.84,22465.4,24149.83,600775.SH,南京熊猫,10.04,3056.07,0.31,1159067106888.54,901.989999999998,-424.860000000001,51098.01,847144.37,29088.01,29512.87,003032.SZ,传智教育,10.03,10005.56,0.17,917586674609.881
2023-11-15,3414.32,2314.94,48585.68,934377.78,26297.16,23982.22,600610.SH,中毅达,10.0,3072.83,0.55,1169067289438.69,2496.3,1310.71,49503.7,848455.08,32714.01,31403.3,003032.SZ,传智教育,10.01,10077.96,0.72,926732070327.65
2023-11-16,-332.199999999997,-1604.66,52332.2,932773.12,20424.03,22028.69,600775.SH,南京熊猫,10.0,3050.93,-0.71,1158912419517.44,702.379999999997,-585.75,51297.62,847869.33,26771.47,27357.22,002239.SZ,奥特佳,10.07,9954.4,-1.23,916061187315.439
2023-11-17,-802.879999999997,-2048.17,52802.88,930724.95,20457.24,22505.41,603013.SH,亚普股份,10.0,3054.37,0.11,1156654305064.41,502.150000000001,-810.700000000001,51497.85,847058.63,27086.7,27897.4,002239.SZ,奥特佳,10.13,9979.69,0.25,916764502819.728
2023-11-20,2342.24,1088.67,49657.76,931813.62,23015.6,21926.93,600658.SH,电子城,10.09,3068.32,0.46,1161280778285.55,1610.62,284.300000000003,50389.38,847342.93,28782.83,28498.53,000863.SZ,三湘印象,9.9,10022.7,0.43,921341689967.74
2023-11-21,2699.05,1451.31,49300.95,933264.93,26793.06,25341.75,600658.SH,电子城,9.94,3067.93,-0.01,1164847552275.43,48.0,-1309.03,51952.0,846033.9,32150.34,33459.37,000863.SZ,三湘印象,9.95,9997.09,-0.26,918268715261.918
2023-11-22,385.980000000003,-700.210000000003,51614.02,932564.72,20582.85,21283.06,600053.SH,九鼎投资,9.99,3043.61,-0.79,1154237834215.11,-1606.88,-2838.34,53606.88,843195.56,27359.9,30198.24,000006.SZ,深振业A,10.08,9855.66,-1.41,902414226349.001
2023-11-23,3264.11,1929.2,48735.89,934493.92,21644.32,19715.12,605020.SH,永和股份,9.98,3061.86,0.6,1161832463387.29,4597.06,3128.78,47402.94,846324.34,28955.09,25826.31,000670.SZ,盈方微,9.96,9933.02,0.78,912960294102.229
2023-11-24,-974.410000000004,-2178.56,52974.41,932315.36,19622.83,21801.39,603103.SH,横店影视,9.98,3040.97,-0.68,1152367013861.11,-2706.87,-4017.42,54706.87,842306.92,26027.96,30045.38,000670.SZ,盈方微,10.06,9839.52,-0.94,900971009129.33
2023-11-27,2372.48,1242.6,49627.52,933557.96,28516.42,27273.82,600550.SH,保变电气,9.96,3031.7,-0.3,1147794436223.3,299.199999999997,-908.579999999998,51700.8,841398.34,28839.43,29748.01,000625.SZ,长安汽车,10.01,9785.57,-0.55,894577042779.441
2023-11-28,3643.09,2350.68,48356.91,935908.64,25366.11,23015.43,600335.SH,国机汽车,10.04,3038.55,0.23,1151273583077.46,1825.88,483.780000000002,50174.12,841882.12,29203.9,28720.12,002866.SZ,传艺科技,10.02,9833.46,0.49,900446754168.432
2023-11-29,-806.510000000002,-1984.39,52806.51,933924.25,22898.77,24883.16,600775.SH,南京熊猫,9.98,3021.69,-0.56,1144532915879.81,-1890.43,-3095.61,53890.43,838786.51,25499.03,28594.64,300656.SZ,民德电子,19.98,9744.39,-0.91,889410721900.471
2023-11-30,9103.64,6377.15,42896.36,940301.4,35474.76,29097.61,605018.SH,长华集团,10.04,3029.67,0.26,1154846892813.07,4409.7,2139.16,47590.3,840925.67,33568.9,31429.74,001236.SZ,弘业期货,9.97,9726.92,-0.18,891369545872.749
2023-12-01,-2835.31,-4062.68,54835.31,936238.72,26260.51,30323.19,603719.SH,良品铺子,10.01,3031.64,0.06,1146073647618.22,461.220000000001,-934.59,51538.78,839991.08,31394.21,32328.8,002232.SZ,启明信息,9.98,9720.57,-0.07,886666338324.63
2023-12-04,738.760000000002,-398.030000000003,51261.24,935840.69,24581.12,24979.15,600228.SH,返利科技,9.99,3022.91,-0.29,1139516047742.51,149.739999999998,-1042.8,51850.26,838948.28,30510.38,31553.18,002122.SZ,汇洲智能,9.93,9660.44,-0.62,880235607597.381
2023-12-05,-3930.08,-4894.1,55930.08,930946.59,22574.12,27468.22,600604.SH,市北高新,9.92,2972.3,-1.67,1114114247591.74,-1612.97,-2626.57,53612.97,836321.71,30303.43,32930.0,000155.SZ,川能动力,9.97,9470.36,-1.97,860588659337.771
2023-12-06,1238.34,109.0,50761.66,931055.59,23820.92,23711.92,600981.SH,汇鸿集团,10.1,2968.93,-0.11,1113508426409.22,3350.36,2232.76,48649.64,838554.47,32905.82,30673.06,002256.SZ,兆新股份,10.2,9533.25,0.66,865874708727.341
2023-12-07,2510.03,1226.15,49489.97,932281.74,25507.26,24281.11,600981.SH,汇鸿集团,10.06,2966.21,-0.09,1112276706908.92,428.5,-852.990000000002,51571.5,837701.48,30035.14,30888.13,000681.SZ,视觉中国,9.97,9519.91,-0.14,864869910948.06
2023-12-08,6127.66,-961.57,45872.34,931320.17,38877.11,39838.68,600536.SH,中国软件,10.01,2969.56,0.11,1114508514064.46,4418.89,1421.53000000001,47581.11,839123.01,39924.91,38503.38,002913.SZ,奥士康,9.99,9553.92,0.36,870427580847.791
2023-12-11,704.779999999999,-853.18,51295.22,930466.99,30381.82,31235.0,600640.SH,国脉文化,10.01,2991.44,0.74,1120936585611.1,-799.400000000001,-2406.08,52799.4,836716.93,32263.92,34670.0,001314.SZ,亿道信息,10.0,9632.61,0.82,875981174602.849
2023-12-12,-615.57,-1828.99,52615.57,928638.0,21414.53,23243.52,600981.SH,汇鸿集团,10.0,3003.44,0.4,1121753740886.25,-1966.75,-3194.94,53966.75,833521.99,25034.57,28229.51,000409.SZ,云鼎科技,9.99,9625.26,-0.08,872711363938.17
2023-12-13,-4668.83,-5770.98,56668.83,922867.02,19627.4,25398.38,600814.SH,杭州解百,9.97,2968.76,-1.15,1098644192095.01,-2701.17,-3818.83,54701.17,829703.16,24917.26,28736.09,002739.SZ,万达电影,10.04,9476.62,-1.54,856792757051.59
2023-12-14,2190.54,1000.47,49809.46,923867.49,22399.31,21398.84,603230.SH,内蒙新华,9.98,2958.99,-0.33,1096134300840.81,3651.65,2462.29,48348.35,832165.45,28126.46,25664.17,000524.SZ,岭南控股,10.03,9417.97,-0.62,853832389103.31
2023-12-15,-1837.28,-3372.65,53837.28,920494.84,25754.28,29126.93,603230.SH,内蒙新华,10.01,2942.56,-0.56,1087572174285.33,445.029999999999,-792.91,51554.97,831372.54,29743.06,30535.97,002445.SZ,中南文化,9.93,9385.33,-0.35,849899441549.31
2023-12-18,2830.3,1470.22,49169.7,921965.06,21981.1,20510.88,603230.SH,内蒙新华,9.99,2930.8,-0.4,1088117010314.15,2764.35,1256.77,49235.65,832629.31,26789.52,25532.75,002915.SZ,中欣氟材,9.98,9279.39,-1.13,842093063733.77
2023-12-19,-329.040000000001,-1838.32,52329.04,920126.74,18702.28,20540.6,600610.SH,中毅达,10.01,2932.39,0.05,1087783485321.47,1160.48,-274.360000000001,50839.52,832354.95,24272.87,24547.23,001314.SZ,亿道信息,10.0,9289.34,0.11,843348403853.299
2023-12-20,954.989999999998,-140.43,51045.01,919986.31,19863.48,20003.91,603489.SH,八方股份,9.99,2902.11,-1.03,1076891407075.9,-263.269999999997,-1401.74,52263.27,830953.21,24090.21,25491.95,001314.SZ,亿道信息,10.0,9158.44,-1.41,832073324391.27
2023-12-21,1653.17,803.100000000002,50346.83,920789.41,22702.13,21899.03,605117.SH,德业股份,10.0,2918.71,0.57,1086795206808.72,1244.76,399.719999999998,50755.24,831352.93,28876.96,28477.24,001269.SZ,欧晶科技,10.01,9257.09,1.08,843348965436.589
2023-12-22,120.339999999997,-428.619999999999,51879.66,920360.79,21038.77,21467.39,603711.SH,香飘飘,10.0,2914.78,-0.13,1086969721285.91,-1440.15,-2082.36,53440.15,829270.57,25444.09,27526.45,003028.SZ,振邦智能,10.0,9221.31,-0.39,839243232674.189
2023-12-27,4784.82,3723.97,47215.18,924084.76,22691.69,18967.72,605118.SH,力鼎光电,10.02,2914.61,0.54,1091254202083.75,3173.87,1953.98,48826.13,831224.55,25366.25,23412.27,001339.SZ,智微智能,9.99,9191.74,0.38,838907475560.28
2023-12-28,7176.8,6088.47,44823.2,930173.23,31779.35,25690.88,603530.SH,神马电力,9.98,2954.7,1.38,1117661472451.91,8649.21,7469.96,43350.79,838694.51,35309.84,27839.88,001339.SZ,智微智能,10.0,9441.05,2.71,869266850925.727
2023-12-29,-580.419999999998,-1689.26,52580.42,928483.97,21281.48,22970.74,603212.SH,赛伍技术,10.01,2974.93,0.68,1121597878302.25,2275.02,1123.06,49724.98,839817.57,27641.32,26518.26,001339.SZ,智微智能,10.02,9524.69,0.89,877692103651.979
2024-01-02,-102.080000000002,-1118.83,52102.08,927365.14,21485.53,22604.36,600088.SH,中视传媒,9.97,2962.28,-0.43,1110038909313.96,-3271.65,-4150.56,55271.65,835667.01,22621.03,26771.59,000595.SZ,宝塔实业,10.04,9401.35,-1.29,861967750558.939
2024-01-03,3259.88,2110.24,48740.12,929475.38,23065.8,20955.56,600088.SH,中视传媒,9.99,2967.25,0.17,1113566223837.55,677.879999999997,-421.190000000002,51322.12,835245.82,25355.94,25777.13,000595.SZ,宝塔实业,10.0,9330.86,-0.75,854857088542.47
2024-01-04,443.760000000002,-784.84,51556.24,928690.54,22145.36,22930.2,605365.SH,立达信,5.32,2954.35,-0.43,1104918324502.99,-1917.66,-3151.52,53917.66,832094.3,21931.13,25082.65,002819.SZ,东方中科,10.0,9215.25,-1.24,843229219166.14
2024-01-05,3255.09,1563.87,48744.91,930254.41,25375.24,23811.37,601528.SH,瑞丰银行,9.64,2929.18,-0.85,1099872922797.41,2118.19,427.879999999997,49881.81,832522.18,27467.51,27039.63,002882.SZ,金龙羽,10.02,9116.44,-1.07,837488122312.521
2024-01-08,-136.349999999999,-1156.34,52136.35,929098.07,26361.05,27517.39,600775.SH,南京熊猫,10.01,2887.54,-1.42,1085329412271.17,-2173.79,-3190.19,54173.79,829331.99,25616.06,28806.25,002323.SZ,雅博股份,9.89,8947.72,-1.85,820798645948.88
2024-01-09,1322.55,194.120000000003,50677.45,929292.19,24053.33,23859.21,603877.SH,太平鸟,9.97,2893.25,0.2,1087443533974.94,1021.61,-175.360000000001,50978.39,829156.63,26911.71,27087.07,002527.SZ,新时达,10.04,8971.72,0.27,823817100045.299
2024-01-10,1217.55,256.960000000003,50782.45,929549.15,22565.72,22308.76,603877.SH,太平鸟,10.0,2877.7,-0.54,1085235925337.53,1361.66,432.689999999999,50638.34,829589.32,25815.27,25382.58,000657.SZ,中钨高新,10.02,8922.79,-0.55,820270742275.131
2024-01-11,937.970000000001,-211.41,51062.03,929337.74,24337.84,24549.25,603877.SH,太平鸟,9.99,2886.65,0.31,1088320951395.26,5767.14,4441.92,46232.86,834031.24,31829.24,27387.32,002641.SZ,公元股份,9.98,9053.88,1.47,834137941636.969
2024-01-12,1587.08,352.049999999999,50412.92,929689.79,21330.37,20978.32,600828.SH,茂业商业,9.93,2881.98,-0.16,1087812841910.19,-1880.28,-3383.81,53880.28,830647.43,25618.43,29002.24,002641.SZ,公元股份,10.0,8996.26,-0.64,826189348712.49
2024-01-15,2702.26,1749.88,49297.74,931439.67,21368.86,19618.98,600828.SH,茂业商业,10.08,2886.29,0.15,1090310148025.82,-1105.95,-2104.64,53105.95,828542.79,22151.18,24255.82,002868.SZ,绿康生化,10.02,8963.93,-0.36,822228932273.951
2024-01-16,1706.64,169.07,50293.36,931608.74,25388.72,25219.65,603026.SH,胜华新材,10.01,2893.99,0.27,1094758614454.71,-2513.56,-4302.2,54513.56,824240.59,24475.23,28777.43,002868.SZ,绿康生化,9.99,8992.07,0.31,822153852085.07
2024-01-17,-5475.43,-6372.43,57475.43,925236.31,23878.4,30250.83,605399.SH,晨光新材,9.98,2833.62,-2.09,1065176217375.07,-5851.68,-6684.21,57851.68,817556.38,23685.33,30369.54,002614.SZ,奥佳华,9.97,8759.76,-2.58,795552258325.141
2024-01-18,1869.49,1051.73,50130.51,926288.04,37854.85,36803.12,603083.SH,剑桥科技,10.01,2845.78,0.43,1078488611993.74,-1023.51,-1792.85,53023.51,815763.53,35244.85,37037.7,002975.SZ,博杰股份,9.99,8847.0,1.0,801280172242.239
